sc_cip,sc_cip_revised,field_name_1,osp_cip,field_name_2,mapping,manual,Note,have_data
1699,16.99,"Foreign Languages, Literatures, and Linguistics, Other.",,,0,,,yes
1900,19,Work and Family Studies.,,,0,,,no
1901,19.01,"Family and Consumer Sciences/Human Sciences, General.",,,0,,,yes
1902,19.02,Family and Consumer Sciences/Human Sciences Business Services.,,,0,,,yes
1904,19.04,Family and Consumer Economics and Related Studies.,,,0,,,yes
1905,19.05,"Foods, Nutrition, and Related Services.",19.05,Nutrition,1,,,yes
1906,19.06,Housing and Human Environments.,,,0,,,yes
1907,19.07,"Human Development, Family Studies, and Related Services.",,,0,,,yes
1909,19.09,Apparel and Textiles.,,,0,,,yes
1910,19.1,Work and Family Studies.,,,0,,,no
1999,19.99,"Family and Consumer Sciences/Human Sciences, Other.",,,0,,,yes
2200,22,Non-Professional General Legal Studies (Undergraduate).,22,Law,2,,,yes
2201,22.01,Law.,22,Law,2,,,yes
2202,22.02,Legal Research and Advanced Professional Studies.,22,Law,2,,,yes
2203,22.03,Legal Support Services.,22,Law,2,,,yes
2299,22.99,"Legal Professions and Studies, Other.",22,Law,2,,,yes
2301,23.01,"English Language and Literature, General.",23,English Literature,2,,,yes
2305,23.05,Creative Writing.,23,English Literature,2,,,no
2308,23.08,English Literature (British and Commonwealth).,23,English Literature,2,,,no
2313,23.13,Rhetoric and Composition/Writing Studies.,23,English Literature,2,,,yes
2314,23.14,Literature.,23,English Literature,2,,,yes
2399,23.99,"English Language and Literature/Letters, Other.",23,English Literature,2,,,yes
2401,24.01,"Liberal Arts and Sciences, General Studies and Humanities.",,,0,,,yes
2501,25.01,Library Science and Administration.,25,Library Science,2,,,yes
2503,25.03,Library and Archives Assisting.,25,Library Science,2,,,yes
2599,25.99,"Library Science, Other.",25,Library Science,2,,,yes
2601,26.01,"Biology, General.",26,Biology,2,,,yes
2602,26.02,"Biochemistry, Biophysics and Molecular Biology.",26,Biology,2,,,yes
2603,26.03,Botany/Plant Biology.,26,Biology,2,,,yes
2604,26.04,Cell/Cellular Biology and Anatomical Sciences.,26,Biology,2,,,yes
2605,26.05,Microbiological Sciences and Immunology.,26,Biology,2,,,yes
2607,26.07,Zoology/Animal Biology.,26,Biology,2,,,yes
2608,26.08,Genetics.,26,Biology,2,,,yes
2609,26.09,"Physiology, Pathology and Related Sciences.",26,Biology,2,,,yes
2610,26.1,Pharmacology and Toxicology.,26,Biology,2,,,yes
2611,26.11,"Biomathematics, Bioinformatics, and Computational Biology.",26,Biology,2,,,yes
2612,26.12,Biotechnology.,26,Biology,2,,,yes
2613,26.13,"Ecology, Evolution, Systematics, and Population Biology.",26,Biology,2,,,yes
2614,26.14,Molecular Medicine.,26,Biology,2,,,no
2615,26.15,Neurobiology and Neurosciences.,26,Biology,2,,,yes
2699,26.99,"Biological and Biomedical Sciences, Other.",26,Biology,2,,,yes
2701,27.01,Mathematics.,27,Mathematics,2,,,yes
2703,27.03,Applied Mathematics.,27,Mathematics,2,,,yes
2705,27.05,Statistics.,27,Mathematics,2,,,yes
2799,27.99,"Mathematics and Statistics, Other.",27,Mathematics,2,,,yes
2801,28.01,"Air Force ROTC, Air Science and Operations.",28.01,Military Science,1,,,no
2803,28.03,"Army ROTC, Military Science and Operations.",28.03,Military Science,1,,,no
2805,28.05,Military Science and Operational Studies.,28.05,Military Science,1,,,no
2806,28.06,Security Policy and Strategy.,28.06,Military Science,1,,,no
2902,29.02,"Intelligence, Command Control and Information Operations.",29.02,Military Science,1,,,yes
2903,29.03,Military Applied Sciences.,29,Military Science,2,,,yes
2904,29.04,Military Systems and Maintenance Technology.,29,Military Science,2,,,yes
2999,29.99,"Military Technologies and Applied Sciences, Other.",29,Military Science,2,,,yes
3000,30,"Multi-/Interdisciplinary Studies, General.",,,0,,,yes
3001,30.01,Biological and Physical Sciences.,,,0,,,yes
3005,30.05,Peace Studies and Conflict Resolution.,,,0,,,yes
3006,30.06,Systems Science and Theory.,,,0,,,yes
3008,30.08,Mathematics and Computer Science.,,,0,,,yes
3010,30.1,Biopsychology.,,,0,,,yes
3011,30.11,Gerontology.,,,0,,,yes
3012,30.12,Historic Preservation and Conservation.,,,0,,,yes
3013,30.13,Medieval and Renaissance Studies.,,,0,,,no
3014,30.14,Museology/Museum Studies.,,,0,,,yes
3015,30.15,"Science, Technology and Society.",,,0,,,yes
3016,30.16,Accounting and Computer Science.,,,0,,,yes
3017,30.17,Behavioral Sciences.,,,0,,,yes
3018,30.18,Natural Sciences.,,,0,,,yes
3019,30.19,Nutrition Sciences.,,,0,1,Nutrition,yes
3020,30.2,International/Global Studies.,,,0,,,yes
3021,30.21,Holocaust and Related Studies.,,,0,,,no
3022,30.22,Classical and Ancient Studies.,,,0,,,yes
3023,30.23,Intercultural/Multicultural and Diversity Studies.,,,0,,,yes
3024,30.24,Neuroscience.,,,0,,,no
3025,30.25,Cognitive Science.,,,0,,,yes
3026,30.26,Cultural Studies/Critical Theory and Analysis.,,,0,,,yes
3027,30.27,Human Biology.,,,0,,,yes
3028,30.28,Dispute Resolution.,,,0,,,yes
3029,30.29,Maritime Studies.,,,0,,,no
3030,30.3,Computational Science.,,,0,,,yes
3031,30.31,Human Computer Interaction.,,,0,,,yes
3032,30.32,Marine Sciences.,,,0,,,yes
3033,30.33,Sustainability Studies.,,,0,,,yes
3099,30.99,"Multi/Interdisciplinary Studies, Other.",,,0,,,yes
3101,31.01,"Parks, Recreation and Leisure Studies.",31,Fitness and Leisure,2,,,yes
3103,31.03,"Parks, Recreation and Leisure Facilities Management.",31,Fitness and Leisure,2,,,yes
3105,31.05,Health and Physical Education/Fitness.,31.05,Fitness and Leisure,1,,,yes
3106,31.06,Outdoor Education.,31,Fitness and Leisure,2,,,yes
3199,31.99,"Parks, Recreation, Leisure, and Fitness Studies, Other.",31,Fitness and Leisure,2,,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.0101,Basic Skills,3,1,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.0104,Basic Skills,3,1,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.0108,Basic Skills,3,1,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.0109,Basic Skills,3,1,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.0199,Basic Skills,3,1,,yes
3201,32.01,Basic Skills and Developmental/Remedial Education.,32.011,Basic Computer Skills,3,1,,yes
3301,33.01,Citizenship Activities.,,,0,,,no
3401,34.01,Health-Related Knowledge and Skills.,,,0,,,yes
3501,35.01,Interpersonal and Social Skills.,,,0,,,no
3601,36.01,Leisure and Recreational Activities.,36,Fitness and Leisure,2,,,yes
3602,36.02,Noncommercial Vehicle Operation.,36,Fitness and Leisure,2,,,no
